pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,habitability_score
Kepler-1661 b,Kepler-1661,1,2,1,Transit,2020,Kepler,Published Confirmed,0,<a refstr=SOCIA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...94S/abstract target=ref>Socia et al. 2020</a>,175.06,0.06,-0.06,0.0,0.633,0.005,-0.005,0.0,3.87,0.06,-0.06,0.0,0.34525827,0.00535284,-0.00535284,0.0,17.0,12.0,-12.0,0.0,0.05348771,0.03775603,-0.03775603,0.0,Mass,0.057,0.005,-0.005,0.0,0.88,,,0.0,243.0,,,0.0,0.0,<a refstr=SOCIA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...94S/abstract target=ref>Socia et al. 2020</a>,K,5100.0,100.0,-100.0,0.0,0.762,0.01,-0.01,0.0,0.841,0.022,-0.022,0.0,-0.12,0.1,-0.1,0.0,[M/H],4.66,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h00m40.10s,285.1670927,+41d58m00.98s,41.9669383,410.607,2.8825,-2.8825,14.357,0.092,-0.092,12.162,0.02,-0.02,14.1933,0.000321,-0.000321,2020-02-21,2020-03,2020-02-27,93.84915979493933
Kepler-849 b,Kepler-849,1,1,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=DALBA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..271...16D/abstract target=ref>Dalba et al. 2024</a>,394.62508,0.00081,-0.00079,0.0,1.137,0.034,-0.03,0.0,8.08167508,0.30264248,-0.32506044,0.0,0.721,0.027,-0.029,0.0,298.75870258,63.5656814,-63.5656814,0.0,0.94,0.2,-0.2,0.0,Mass,0.078,0.069,-0.053,0.0,2.86,0.21,-0.2,0.0,362.7,6.0,-5.8,0.0,0.0,<a refstr=DALBA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..271...16D/abstract target=ref>Dalba et al. 2024</a>,,5950.0,140.0,-130.0,0.0,1.822,0.066,-0.073,0.0,1.259,0.12,-0.098,0.0,0.145,0.059,-0.058,0.0,[Fe/H],4.016,0.06,-0.049,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h23m24.43s,290.8517961,+48d31m16.77s,48.5213243,822.134,16.333,-15.719,12.878,0.092,-0.092,11.527,0.023,-0.023,12.8358,0.000209,-0.000209,2024-09-13,2024-03,2024-09-13,93.02025350588404
Kepler-103 c,Kepler-103,0,1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,179.60978,0.0002,-0.0002,0.0,0.6639,0.0043,-0.0063,0.0,5.45,0.18,-0.18,0.0,0.48621727,0.01605855,-0.01605855,0.0,38.0,17.0,-16.0,0.0,0.11956137,0.05348798,-0.05034163,0.0,Mass,0.095,,,1.0,5.95,0.34,-0.34,0.0,434.0,6.0,-6.0,0.0,1.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,6009.0,64.0,-64.0,0.0,1.492,0.024,-0.022,0.0,1.212,0.024,-0.033,0.0,0.16,0.04,-0.04,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h15m56.29s,288.9845512,+40d03m52.15s,40.0644857,494.832,5.894,-5.758,11.883,0.024,-0.024,10.873,0.017,-0.017,12.2466,0.000186,-0.000186,2023-04-17,2023-04,2023-04-17,92.7124338041403
HD 136352 d,HD 136352,1,1,3,Radial Velocity,2019,La Silla Observatory,Published Confirmed,0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,107.245,0.05,-0.05,0.0,0.425,0.012,-0.012,0.0,2.562,0.088,-0.079,0.0,0.22856672,0.00785085,-0.00704792,0.0,8.82,0.93,-0.92,0.0,0.02775082,0.00292611,-0.00289464,0.0,Mass,0.0,,,0.0,5.74,0.38,-0.35,0.0,431.0,7.0,-7.0,0.0,0.0,<a refstr=DELREZ_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021NatAs.tmp..106D/abstract target=ref>Delrez et al. 2021</a>,,5664.0,61.0,-61.0,0.0,1.058,0.019,-0.019,0.0,0.87,0.04,-0.04,0.0,-0.24,0.05,-0.05,0.0,[M/H],4.39,0.11,-0.11,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h21m45.63s,230.4401147,-48d19m07.74s,-48.3188174,14.682,0.0199,-0.0198,5.65,0.03,-0.03,4.159,0.036,-0.036,5.48495,0.0015675,-0.0015675,2021-08-09,2021-06,2021-08-09,92.36962995069014
Kepler-538 b,Kepler-538,0,2,1,Transit,2016,Kepler,Published Confirmed,0,<a refstr=MAYO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..165M/abstract target=ref>Mayo et al. 2019</a>,81.73778,0.00013,-0.00013,0.0,0.4669,0.0087,-0.009,0.0,2.215,0.04,-0.034,0.0,0.19760906,0.00356856,-0.00303328,0.0,10.6,2.5,-2.4,0.0,0.03335116,0.00786584,-0.00755121,0.0,Mass,0.041,0.034,-0.029,0.0,2.99,0.31,-0.27,0.0,380.0,,,0.0,0.0,<a refstr=MAYO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..165M/abstract target=ref>Mayo et al. 2019</a>,,5547.0,50.0,-50.0,0.0,0.8717,0.0064,-0.0061,0.0,0.892,0.051,-0.035,0.0,-0.03,0.08,-0.08,0.0,[M/H],4.51,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h49m56.77s,297.4865503,+49d37m24.23s,49.6233975,155.956,0.709,-0.703,11.27,0.018,-0.018,9.645001,0.013,-0.013,11.1647,0.000516,-0.000516,2019-09-20,2019-10,2019-09-26,91.7861568131431
TOI-561 e,TOI-561,1,1,4,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,1,<a refstr=PIOTTO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.535.2763P/abstract target=ref>Piotto et al. 2024</a>,77.144,0.00027,-0.00027,0.0,0.33,0.005,-0.005,0.0,2.517,0.045,-0.045,0.0,0.22455209,0.00401464,-0.00401464,0.0,12.4,1.4,-1.4,0.0,0.03901476,0.00440489,-0.00440489,0.0,Mass,0.074,0.044,-0.039,0.0,4.89,0.16,-0.16,0.0,416.0,6.0,-6.0,0.0,0.0,<a refstr=PIOTTO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024MNRAS.535.2763P/abstract target=ref>Piotto et al. 2024</a>,,,,,,0.843,0.005,-0.005,0.0,0.806,0.036,-0.036,0.0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h52m44.44s,148.1851516,+06d12m57.97s,6.216103,85.799,0.4988,-0.4932,10.252,0.006,-0.006,8.394,0.019,-0.019,10.0128,0.000278,-0.000278,2025-02-24,2024-12,2025-02-24,91.37524658655
TOI-561 e,TOI-561,0,1,4,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,1,<a refstr=LACEDELLI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4551L/abstract target=ref>Lacedelli et al. 2022</a>,77.03,0.25,-0.24,0.0,0.328,0.003,-0.003,0.0,2.55,0.12,-0.13,0.0,0.22749615,0.0107057,-0.01159784,0.0,12.6,1.4,-1.4,0.0,0.03964403,0.00440489,-0.00440489,0.0,Mass,0.079,0.058,-0.05,0.0,4.96,0.28,-0.28,0.0,415.0,6.0,-6.0,0.0,0.0,<a refstr=LACEDELLI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.511.4551L/abstract target=ref>Lacedelli et al. 2022</a>,G9 V,5372.0,70.0,-70.0,0.0,0.843,0.005,-0.005,0.0,0.806,0.036,-0.036,0.0,-0.4,0.05,-0.05,0.0,[Fe/H],4.5,0.12,-0.12,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h52m44.44s,148.1851516,+06d12m57.97s,6.216103,85.799,0.4988,-0.4932,10.252,0.006,-0.006,8.394,0.019,-0.019,10.0128,0.000278,-0.000278,2023-03-15,2022-04,2023-03-15,91.3237552382832
Kepler-20 d,Kepler-20,1,2,6,Transit,2011,Kepler,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,77.611455,9.6e-05,-9.6e-05,0.0,0.3474,0.0067,-0.0067,0.0,2.606,0.053,-0.039,0.0,0.23249215,0.00472835,-0.00347935,0.0,13.4,3.7,-3.6,0.0,0.04216111,0.0116415,-0.01132687,0.0,Mass,0.082,,,1.0,5.71,0.33,-0.33,0.0,430.0,6.0,-6.0,0.0,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,5495.0,50.0,-50.0,0.0,0.9164,0.0087,-0.0077,0.0,0.929,0.053,-0.053,0.0,0.07,0.08,-0.08,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h10m47.52s,287.6979913,+42d20m18.88s,42.3385782,282.563,1.776,-1.753,12.61,0.069,-0.069,10.871,0.013,-0.013,12.4535,0.000142,-0.000142,2023-04-17,2023-04,2023-04-17,91.28092679898573
Kepler-111 c,Kepler-111,1,1,2,Transit,2014,Kepler,Published Confirmed,0,<a refstr=DALBA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..271...16D/abstract target=ref>Dalba et al. 2024</a>,224.77833,0.00026,-0.00026,0.0,0.751,0.013,-0.016,0.0,7.0840758,0.25780656,-0.23538859,0.0,0.632,0.023,-0.021,0.0,222.4798849,44.49597698,-41.31769291,0.0,0.7,0.14,-0.13,0.0,Mass,0.176,0.08,-0.085,0.0,2.48,0.21,-0.18,0.0,352.2,6.4,-5.7,0.0,1.0,<a refstr=DALBA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..271...16D/abstract target=ref>Dalba et al. 2024</a>,,5914.0,81.0,-82.0,0.0,1.145,0.04,-0.037,0.0,1.118,0.061,-0.068,0.0,0.237,0.058,-0.059,0.0,[Fe/H],4.369,0.036,-0.041,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h26m36.76s,291.653163,+44d41m17.74s,44.6882613,657.223,6.014,-5.908,13.543,0.069,-0.069,12.11,0.023,-0.023,13.4192,0.000235,-0.000235,2024-09-13,2024-03,2024-09-13,91.01290699812103
K2-3 d,K2-3,1,1,3,Transit,2015,K2,Published Confirmed,0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,44.55603,0.00013,-0.00012,0.0,0.2014,0.0034,-0.0033,0.0,1.458,0.056,-0.051,0.0,0.13007427,0.00499599,-0.00454992,0.0,2.2,,,1.0,0.00692197,,,1.0,Mass,0.091,0.12,-0.064,0.0,1.44,0.14,-0.14,0.0,305.2,3.1,-3.2,0.0,0.0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,M V,3844.0,61.0,-63.0,0.0,0.546,0.018,-0.016,0.0,0.549,0.029,-0.027,0.0,-0.157,0.075,-0.08,0.0,[Fe/H],4.704,0.023,-0.026,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h29m20.49s,172.3353708,-01d27m18.49s,-1.4551364,44.0727,0.10815,-0.10815,12.168,0.009,-0.009,8.561,0.023,-0.023,11.4785,0.000959,-0.000959,2023-07-10,2022-11,2023-07-10,90.55206056098987
TOI-2095 c,TOI-2095,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=MURGAS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230409220M/abstract target=ref>Murgas et al. 2023</a>,28.17232,0.00014,-0.00014,0.0,0.137,0.006,-0.006,0.0,1.33,0.08,-0.08,0.0,0.11865486,0.00713713,-0.00713713,0.0,7.4,,,1.0,0.023283,,,1.0,Mass,0.0,,,0.0,1.84,0.17,-0.17,0.0,297.0,8.0,-8.0,0.0,0.0,<a refstr=MURGAS_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230409220M/abstract target=ref>Murgas et al. 2023</a>,M2.5 V,3759.0,87.0,-87.0,0.0,0.44,0.02,-0.02,0.0,0.44,0.02,-0.02,0.0,-0.24,0.04,-0.04,0.0,[Fe/H],5.11,0.12,-0.12,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h02m32.77s,285.6365235,+75d25m06.65s,75.4185135,41.9176,0.05,-0.05,13.19,0.2,-0.2,8.988,0.015,-0.015,12.094,0.000421,-0.000421,2023-08-22,2023-04,2023-08-22,90.49260016368652
K2-3 d,K2-3,0,1,3,Transit,2015,K2,Published Confirmed,0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,44.556456,9.7e-05,-9.7e-05,0.0,0.2097,0.007,-0.007,0.0,1.62,0.18,-0.18,0.0,0.14452697,0.01605855,-0.01605855,0.0,1.6,,,1.0,0.00503416,,,1.0,Mass,0.097,,,1.0,1.6,0.38,-0.33,0.0,312.0,17.0,-17.0,0.0,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,3835.0,70.0,-70.0,0.0,0.6,0.06,-0.06,0.0,0.62,0.06,-0.06,0.0,-0.01,0.09,-0.09,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h29m20.49s,172.3353708,-01d27m18.49s,-1.4551364,44.0727,0.10815,-0.10815,12.168,0.009,-0.009,8.561,0.023,-0.023,11.4785,0.000959,-0.000959,2023-04-17,2023-04,2023-04-17,90.47887841514594
LHS 1140 b,LHS 1140,1,1,2,Transit,2017,MEarth Project,Published Confirmed,0,<a refstr=CADIEUX_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...960L...3C/abstract target=ref>Cadieux et al. 2024</a>,24.73723,2e-05,-2e-05,0.0,0.0946,0.0017,-0.0017,0.0,1.73,0.025,-0.025,0.0,0.15434053,0.00223035,-0.00223035,0.0,5.6,0.19,-0.19,0.0,0.01761957,0.00059781,-0.00059781,0.0,Mass,0.043,,,1.0,0.43,0.03,-0.03,0.0,226.0,4.0,-4.0,0.0,0.0,<a refstr=CADIEUX_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...960L...3C/abstract target=ref>Cadieux et al. 2024</a>,M4.5 V,3096.0,48.0,-48.0,0.0,0.2159,0.003,-0.003,0.0,0.1844,0.0045,-0.0045,0.0,-0.15,0.09,-0.09,0.0,[Fe/H],5.041,0.016,-0.016,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h44m59.67s,11.248632,-15d16m26.79s,-15.2741085,14.9861,0.0153,-0.0152,14.15,0.062,-0.062,8.821,0.024,-0.024,12.6706,0.000356,-0.000356,2024-03-04,2024-01,2024-03-04,90.36378419449153
Kepler-138 d,Kepler-138,1,1,4,Transit,2014,Kepler,Published Confirmed,0,<a refstr=PIAULET_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp..269P/abstract target=ref>Piaulet et al. 2022</a>,23.0923,0.0006,-0.0006,0.0,0.1288,0.001,-0.001,0.0,1.51,0.04,-0.04,0.0,0.13471341,0.00356857,-0.00356857,0.0,2.1,0.6,-0.7,0.0,0.00660734,0.00188781,-0.00220245,0.0,Mass,0.01,0.005,-0.005,0.0,3.4,0.2,-0.2,0.0,345.0,7.0,-7.0,0.0,1.0,<a refstr=PIAULET_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp..269P/abstract target=ref>Piaulet et al. 2022</a>,,3841.0,50.0,-51.0,0.0,0.535,0.013,-0.014,0.0,0.535,0.012,-0.012,0.0,-0.18,0.1,-0.1,0.0,[Fe/H],4.71,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h21m31.54s,290.3814122,+43d17m35.03s,43.2930645,66.8624,0.107,-0.107,13.04,0.092,-0.092,9.506,0.011,-0.011,12.4715,0.000239,-0.000239,2023-01-04,2022-12,2023-01-04,90.34489176430333
HD 191939 d,HD 191939,1,1,6,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ORELL_MIQUEL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221100667O/abstract target=ref>Orell-Miquel et al. 2022</a>,38.353037,6e-05,-6e-05,0.0,0.2132,0.0065,-0.0061,0.0,2.995,0.07,-0.07,0.0,0.26719646,0.00624499,-0.00624499,0.0,2.8,0.6,-0.6,0.0,0.00880979,0.00188781,-0.00188781,0.0,Mass,0.031,0.018,-0.012,0.0,14.3,1.0,-1.0,0.0,540.0,11.0,-11.0,0.0,0.0,<a refstr=LUBIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..101L/abstract target=ref>Lubin et al. 2022</a>,G9 V,5348.0,100.0,-100.0,0.0,0.94,0.02,-0.02,0.0,0.81,0.04,-0.04,0.0,-0.15,0.06,-0.06,0.0,[Fe/H],4.3,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h08m06.15s,302.0256247,+66d51m01.09s,66.8503014,53.6089,0.0733,-0.0731,8.97,0.03,-0.03,7.18,0.021,-0.021,8.77476,0.000238,-0.000238,2022-11-14,2022-11,2022-11-14,90.3298579540492
K2-3 c,K2-3,1,1,3,Transit,2015,K2,Published Confirmed,0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,24.646729,4.4e-05,-4.2e-05,0.0,0.1357,0.0023,-0.0022,0.0,1.582,0.057,-0.051,0.0,0.14113683,0.00508521,-0.00454992,0.0,2.68,0.85,-0.85,0.0,0.00843222,0.0026744,-0.0026744,0.0,Mass,0.048,0.073,-0.035,0.0,3.17,0.3,-0.3,0.0,371.8,3.8,-3.9,0.0,0.0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,M V,3844.0,61.0,-63.0,0.0,0.546,0.018,-0.016,0.0,0.549,0.029,-0.027,0.0,-0.157,0.075,-0.08,0.0,[Fe/H],4.704,0.023,-0.026,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h29m20.49s,172.3353708,-01d27m18.49s,-1.4551364,44.0727,0.10815,-0.10815,12.168,0.009,-0.009,8.561,0.023,-0.023,11.4785,0.000959,-0.000959,2023-07-10,2022-11,2023-07-10,90.30041991106127
LHS 1140 b,LHS 1140,0,1,2,Transit,2017,MEarth Project,Published Confirmed,0,<a refstr=MENT_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...32M/abstract target=ref>Ment et al. 2019</a>,24.736959,8e-05,-8e-05,0.0,0.0936,0.0024,-0.0024,0.0,1.727,0.032,-0.032,0.0,0.15407262,0.00285485,-0.00285485,0.0,6.98,0.89,-0.89,0.0,0.02196143,0.00280024,-0.00280024,0.0,Mass,0.06,,,1.0,0.503,0.03,-0.03,0.0,235.0,5.0,-5.0,0.0,0.0,<a refstr=MENT_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...32M/abstract target=ref>Ment et al. 2019</a>,,3216.0,39.0,-39.0,0.0,0.2139,0.0041,-0.0041,0.0,0.179,0.014,-0.014,0.0,-0.24,0.1,-0.1,0.0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h44m59.67s,11.248632,-15d16m26.79s,-15.2741085,14.9861,0.0153,-0.0152,14.15,0.062,-0.062,8.821,0.024,-0.024,12.6706,0.000356,-0.000356,2018-12-03,2019-01,2018-12-06,90.2856799879249
HD 23472 c,HD 23472,1,1,5,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,29.79749,0.00013,-0.00014,0.0,0.1646,0.0024,-0.0024,0.0,1.87,0.12,-0.11,0.0,0.16683051,0.0107057,-0.00981356,0.0,3.41,0.88,-0.81,0.0,0.01072906,0.00276879,-0.00254855,0.0,Mass,0.063,0.054,-0.043,0.0,7.96,0.87,-0.78,0.0,467.0,19.0,-18.0,0.0,0.0,<a refstr=BARROS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220913345B/abstract target=ref>Barros et al. 2022</a>,K4 V,4684.0,99.0,-99.0,0.0,0.71,0.02,-0.02,0.0,0.67,0.03,-0.03,0.0,-0.2,0.05,-0.05,0.0,[Fe/H],4.53,0.08,-0.08,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h41m50.17s,55.4590314,-62d46m02.16s,-62.7672667,39.0341,0.0401,-0.04,9.73,0.03,-0.03,7.207,0.023,-0.023,9.38476,0.000227,-0.000227,2022-10-03,2022-09,2022-10-03,90.22538449231754
TOI-1266 c,TOI-1266,0,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=STEF_AACUTE_NSSON_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..259S/abstract target=ref>Stef&aacute;nsson et al. 2020</a>,18.80152,0.00054,-0.00067,0.0,0.1037,0.0026,-0.0025,0.0,1.673,0.087,-0.11,0.0,0.14925532,0.00776163,-0.00981356,0.0,6.4,,,1.0,0.02013665,,,1.0,Mass,0.0,,,0.0,2.42,0.23,-0.22,0.0,347.1,7.9,-8.0,0.0,1.0,<a refstr=STEF_AACUTE_NSSON_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..259S/abstract target=ref>Stef&aacute;nsson et al. 2020</a>,M2 V,3573.0,35.0,-38.0,0.0,0.4232,0.0077,-0.0079,0.0,0.437,0.021,-0.021,0.0,-0.08,0.13,-0.1,0.0,[Fe/H],4.826,0.02,-0.021,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h11m59.18s,197.9965833,+65d50m01.31s,65.8336973,36.0118,0.0295,-0.0295,12.941,0.049,-0.049,8.84,0.02,-0.02,12.1222,0.000249,-0.000249,2022-01-10,2020-12,2022-01-10,90.20692750830153
TOI-1266 c,TOI-1266,0,1,3,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=DEMORY_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A..49D/abstract target=ref>Demory et al. 2020</a>,18.80151,0.00067,-0.00069,0.0,0.1058,0.0023,-0.0024,0.0,1.56,0.15,-0.13,0.0,0.13917388,0.0133821,-0.01159782,0.0,2.2,2.0,-1.5,0.0,0.00692194,0.00629267,-0.0047195,0.0,Mass,0.04,0.03,-0.03,0.0,2.3,0.5,-0.4,0.0,344.0,16.0,-16.0,0.0,1.0,<a refstr=DEMORY_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A..49D/abstract target=ref>Demory et al. 2020</a>,M3,3600.0,150.0,-150.0,0.0,0.42,0.02,-0.02,0.0,0.45,0.03,-0.03,0.0,-0.5,0.5,-0.5,0.0,[Fe/H],4.85,0.05,-0.05,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h11m59.18s,197.9965833,+65d50m01.31s,65.8336973,36.0118,0.0295,-0.0295,12.941,0.049,-0.049,8.84,0.02,-0.02,12.1222,0.000249,-0.000249,2020-10-01,2020-10,2020-10-08,90.19762730481173
